0,256,512,1024,2048,3072,4096,6144,8096
1,11973,12807,12675,12675,12675,12675,0,0
2,11999,12781,12660,12660,12660,0,0,0
3,11997,12785,12657,12660,12660,12660,0,0
4,12017,12784,12655,12660,12660,12660,0,0
6,12037,12779,12659,12657,12660,12660,0,0
8,12057,12776,12660,12655,12659,12660,12660,0
12,12098,12774,12656,12659,12655,12657,12660,0
16,12137,12773,12656,12660,12655,12655,12659,12660
20,12178,12771,12661,12653,12667,12654,12656,12659
24,12219,12766,12656,12656,12660,12659,12655,12657
28,12259,12762,12659,12662,12655,12666,12654,12656
32,12295,12760,12658,12656,12653,12660,12655,12655
36,12338,12757,12658,12656,12656,12656,12659,12654
40,12386,12757,12660,12661,12663,12653,12667,12654
44,12406,12756,12657,12658,12659,12653,12664,12656
48,12466,12756,12659,12656,12656,12656,12660,12660
52,12479,12750,12659,12659,12655,12661,12657,12666
56,12526,12742,12658,12659,12658,12662,12655,12666
60,12583,12747,12658,12657,12661,12658,12653,12662
64,12592,12738,12658,12658,12659,12656,12653,12660
